"file_name","name","company","date_of_birth","job","social_security_number"
"image_66.bmp","Garrett Michael","IBM","1970-06-06","Team Lead","870-03-9627"
"image_67.bmp","test","IBM","1963-10-04","Manager","test"
"image_68.bmp","Toni George","Google","2020-12-03","Scrum Master","276-98-9611"
"image_69.bmp","test","Google","2021-12-24","test","test"
"image_7.bmp","Timothy Thomas","Apple","1928-12-22","test","290-92-8645"
"image_70.bmp","Bruce Porter","Google","2020-12-23","Human Resources","337-39-8026"
"image_71.bmp","test","Google","2021-12-24","test","test"
"image_72.bmp","Andrew Hines","Apple","1961-12-14","Scrum Master","711-81-5430"
"image_73.bmp","Tammy Washington","Google","2021-12-24","Scrum Master","test"
"image_74.bmp","Jeffrey Brown","Google","1991-12-21","Team Lead","522-47-8445"
"image_75.bmp","test","Google","2021-12-24","test","test"
"image_76.bmp","test","Google","2021-12-24","test","test"
"image_77.bmp","Catherine Gilmore","Apple","1947-07-13","Team Lead","286-93-7670"
"image_78.bmp","Emily Foster","Google","1952-04-15","Software Engineer","test"
"image_79.bmp","Jackie Williams","Google","2021-12-24","Manager","588-10-5058"
"image_8.bmp","test","IBM","1943-10-10","Software Engineer","test"
"image_80.bmp","Amanda Robertson","Google","2020-12-23","Human Resources","435-16-9169"
"image_81.bmp","Tiffany Harmon","Apple","1999-12-23","Human Resources","test"
"image_82.bmp","test","Google","2021-12-24","test","test"
"image_83.bmp","test","IBM","2004-04-25","Software Engineer","test"
"image_84.bmp","Mrs. Pamela Smith","Apple","1923-06-21","test","616-17-7086"
"image_85.bmp","test","Google","2021-12-24","test","test"
"image_86.bmp","Douglas Levine","IBM","1951-06-02","Software Engineer","219-43-8957"
"image_87.bmp","Tina Perry","Apple","1976-08-26","test","366-75-6284"
"image_88.bmp","test","IBM","1984-06-09","Manager","test"
"image_89.bmp","test","Google","2021-12-24","test","test"
"image_9.bmp","Mary Garner","Google","2006-12-24","test","test"
"image_90.bmp","Maureen Davis","Apple","1942-06-18","test","070-75-6405"
"image_91.bmp","test","IBM","2002-12-12","Software Engineer","test"
"image_92.bmp","Lindsay Williamson","Apple","1964-06-25","test","676-99-2009"
"image_93.bmp","Mr. James Jones","Google","1996-12-06","Human Resources","test"
"image_94.bmp","Mark Bryant","Apple","1994-02-08","Human Resources","605-46-2138"
"image_95.bmp","Joshua Martin","Google","2021-12-24","Scrum Master","test"
"image_96.bmp","Mrs. Gabrielle Davis","Apple","1981-03-25","test","219-02-6446"
"image_97.bmp","Di x","Google","2021-12-24","test","test"
"image_98.bmp","Jennifer Raymond","IBM","1958-02-17","Team Lead","440-48-0766"
"image_99.bmp","Andrew Barker","IBM","1938-11-01","Scrum Master","571-68-3166"
